TweetID,Username,Date,Retweets,Favorites,Text,Mentions,Permalink
824296482849378304,KikiBeeTard,2017-01-25 11:42,0,0,I have got to say Kobes are the most comfortable sneaker . Well maybe Nike Prestos too. I feel like I'm walking on clouds,,https://twitter.com/KikiBeeTard/status/824296482849378304
824279174521102337,tyraandbanks,2017-01-25 10:34,0,6,"I was going to buy a Nike /North Face windbreaker but I feel that as soon as I buy it, California gonna try to be hot again",,https://twitter.com/tyraandbanks/status/824279174521102337
824274409049313280,popeyeandolive1,2017-01-25 10:15,0,0,The Nike app told me to run for 30 min today but did I no I slept the ? Is do I feel better sleeping or that's no Brainer,,https://twitter.com/popeyeandolive1/status/824274409049313280
824272632057098241,ihannaford,2017-01-25 10:08,0,1,Great news for TaylorMade. Can't help but feel bad for Nike though after staying with Tiger for 20yrs and the odd scandal or two https:// twitter.com/TigerWoods/sta tus/824246900895252481 ,,https://twitter.com/ihannaford/status/824272632057098241
824271632491487232,AdamGrisier,2017-01-25 10:04,0,2,Tiger isn't using Nike anymore and I don't know how to feel about it,,https://twitter.com/AdamGrisier/status/824271632491487232
824268505243652096,Creesheesh,2017-01-25 09:51,0,0,"These Nike Prestos feel like I'm walking on clouds, I now need some in every color",,https://twitter.com/Creesheesh/status/824268505243652096
824257271836372993,omegasportsnc,2017-01-25 09:07,1,1,I feel at my best when I walk out of my dance class with my endorphins flying off the charts. @naomishimada #nike #Repost @nikewomen pic.twitter.com/O87AYz7cAn,@naomishimada @nikewomen,https://twitter.com/omegasportsnc/status/824257271836372993
824243166341689344,chazer2712,2017-01-25 08:10,0,0,Am I the only one who has no interest in #jordans bar the infered 6s I don't feel any of them #nike #adidas #ultraboost #sneakers #airmax,,https://twitter.com/chazer2712/status/824243166341689344
824242780759359488,Nike_OvaHoes,2017-01-25 08:09,0,0,I feel like you tried to @me but next time catch me outside,@me,https://twitter.com/Nike_OvaHoes/status/824242780759359488
824233967259815936,nike_olabode_,2017-01-25 07:34,0,0,I have the worst headache ever and I don't feel like doing my makeup,,https://twitter.com/nike_olabode_/status/824233967259815936
824231932720533504,topgolfdeals_,2017-01-25 07:26,0,0,Nike 2015 Dura Feel VIII All Weather Mens #Golf Gloves Left Hand (Right Handed Golfer) https://www. amazon.com/Nike-Weather-G loves-Handed-Golfer/dp/B01312W52E%3FSubscriptionId%3DAKIAIJEZNVTRKJB5N4GQ%26tag%3Dtopgolfclubdeals-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01312W52E ,,https://twitter.com/topgolfdeals_/status/824231932720533504
824157237912412164,buitron_andrew,2017-01-25 02:29,0,0,"@andrei_mtz44 bro I feel your retweet of the dude saying don't just talk about you doing something, just do it like NIKE . Thats real Pcookie",@andrei_mtz44,https://twitter.com/buitron_andrew/status/824157237912412164
824140623657762816,princenmg,2017-01-25 01:23,0,5,All socks should feel like Nike elites,,https://twitter.com/princenmg/status/824140623657762816
824130543788892161,Off_SarahLouise,2017-01-25 00:43,0,1,The level of deep obsession I feel for my Nike 's is starting to make me uncomfortable... have I become an official Californian yet?,,https://twitter.com/Off_SarahLouise/status/824130543788892161
824122657415241730,tlockney,2017-01-25 00:12,0,0,"My DMs are open, so feel free to ping me for details. Alternately, just email at first dot last at nike .",,https://twitter.com/tlockney/status/824122657415241730
824115970281062400,5000bluntz,2017-01-24 23:45,0,0,my timbs starting to feel like Nike Airs on me,,https://twitter.com/5000bluntz/status/824115970281062400
824111025528143872,Nike_justdoinit,2017-01-24 23:25,0,0,"My new Bitch she Jamaican, She remind of Satan. She act like Keisha from Belly, I feel like Ox in the makin!",,https://twitter.com/Nike_justdoinit/status/824111025528143872
824110000499032064,Billylovenberg5,2017-01-24 23:21,0,0,"i agree, but i like this look last collab i feel just looked too much like a normal nike running shoe",,https://twitter.com/Billylovenberg5/status/824110000499032064
824097975735554048,TianaBro,2017-01-24 22:34,0,0,I just did a 5min Nike training app workout and it took me 20mins and I feel like I'm gonna pass out,,https://twitter.com/TianaBro/status/824097975735554048
824085992042733568,Bradleythurber,2017-01-24 21:46,0,0,Also I feel bad for the kids at Nike schools that are drooling over these but can't cop. https:// twitter.com/adidasFballUS/ status/823938443105308672 ,,https://twitter.com/Bradleythurber/status/824085992042733568
824083691915870212,kristin_oatmeal,2017-01-24 21:37,0,0,I saw Nike on facetime and now I feel even worse,,https://twitter.com/kristin_oatmeal/status/824083691915870212
824075341228556289,nike_ebooks,2017-01-24 21:04,0,0,there were so many amazing people lately i feel lucky to be a part of their lives,,https://twitter.com/nike_ebooks/status/824075341228556289
824072679565033472,bidentime2018,2017-01-24 20:53,0,1,"How do feel about exporting US production pollution to China where pollution is 10000x worse. Still buy Nike , eh?",,https://twitter.com/bidentime2018/status/824072679565033472
824063636847083521,Chef_Ronaldo,2017-01-24 20:17,0,1,"Loving the @Nike . @nikestore #metcon2 for my WOD. The feel , balance, and power. Need to order my #metcon3 #health pic.twitter.com/OvMI53seS6",@Nike @nikestore,https://twitter.com/Chef_Ronaldo/status/824063636847083521
824062375280148483,PrissyPrince,2017-01-24 20:12,0,0,she got my shit looking like a whole Nike sign out here.. now I can't feel cute till my shit grow back in.,,https://twitter.com/PrissyPrince/status/824062375280148483
824060672816349186,Flossini,2017-01-24 20:05,0,0,Y'all are asleep smh a Nike branded dope sneaker for almost 50$ off buggin I almost feel like doubling up https:// twitter.com/sneakersteal/s tatus/824059283130163200 ,,https://twitter.com/Flossini/status/824060672816349186
824055643376144385,FreddyCuenca,2017-01-24 19:45,0,0,"Feel Good. Acabo de correr 5,10 km con Nike +. http:// go.nike.com/04qsttii #nikeplus",,https://twitter.com/FreddyCuenca/status/824055643376144385
824049425546878976,313RGB,2017-01-24 19:21,0,0,Not sure how I feel about Johnston being on a pair of Nike Shoes? pic.twitter.com/TSkhSJGqWb,,https://twitter.com/313RGB/status/824049425546878976
824043249480433665,JustDoMe__Nike,2017-01-24 18:56,0,1,I'm starting to feel stagnant and complacent currently.,,https://twitter.com/JustDoMe__Nike/status/824043249480433665
824031409832607745,amandajane199,2017-01-24 18:09,1,0,i feel like a failure when i wear nike and underarmour at the same time,,https://twitter.com/amandajane199/status/824031409832607745
824009548432338944,ImprintGolf,2017-01-24 16:42,1,4,Nike Classic Feel Glove with Photo Dome http:// imprintgolf.com . #golf #golftournament #golfouting #golfgloves #golfvendor #nike #nikegolf pic.twitter.com/Nad5ZMNzrS,,https://twitter.com/ImprintGolf/status/824009548432338944
824008112680144897,ForYouCoolKids,2017-01-24 16:36,1,0,200 for the nike jacket i feel like quentin miller,,https://twitter.com/ForYouCoolKids/status/824008112680144897
824007873780977664,NRS_nike,2017-01-24 16:36,0,2,"I feel really, really awkward right now.",,https://twitter.com/NRS_nike/status/824007873780977664
824005544897871872,DarkaThanHenney,2017-01-24 16:26,0,1,"That Nike suit would have came in handy at a time like this. I feel so under dressed, but they know what the deal is @Nike pic.twitter.com/XvQHytdiwW",@Nike,https://twitter.com/DarkaThanHenney/status/824005544897871872
823998994162388993,The_nike_kid13,2017-01-24 16:00,0,0,Your skin is thin today and you might feel things that you wou... More for Sagittarius http:// bit.ly/yibOac,,https://twitter.com/The_nike_kid13/status/823998994162388993
823982169957617664,YogiCrystal,2017-01-24 14:53,0,1,"I have been considering it, but feel silly with Nike + & Garmin and can't decide which to give up hahah",,https://twitter.com/YogiCrystal/status/823982169957617664
823970347758288897,nafees23,2017-01-24 14:06,0,5,"these are dope but same story, try to cop, get an L, buy a flyknit from Nike to make myself feel better",,https://twitter.com/nafees23/status/823970347758288897
